customer_id,first_name,last_name,dob,ssn_hash,country_of_birth,citizenship,onboarded_date,kyc_status,kyc_reviewed_at,branch_id,created_at,updated_at
CUST000001,Evan,Ramos,1992-12-14,e2ffa0c3b30205d0608f12922aaf6aea822ab01a2668359362272e17c429ed3c,MX,MX,2021-05-17,APPROVED,2021-05-21,BR0009,2021-05-17 09:52:15,2021-05-17 06:31:42
CUST000002,Janice,Hoffman,1978-04-14,b575b2cba8c1c00cec7786bb3e5cfbf20280832f219f5dce83b4287b5ed3e249,US,US,2021-04-15,EXPIRED,2021-05-27,BR0001,2021-04-15 08:14:49,2021-04-15 18:11:25
CUST000003,Daniel,Landry,1955-02-22,1fbad8c0913759244219295322900516fbdc0492ce6afb44c8705eaf14c4dbe9,FR,FR,2022-11-08,APPROVED,2022-12-15,BR0013,2022-11-08 08:20:46,2022-11-08 14:50:30
CUST000004,Hannah,Hernandez,1954-01-15,ebb43508357fb5d5351c20cd657fa63a949cdbbb841a8a81e42677130886c32e,US,US,2022-01-11,APPROVED,2022-03-04,BR0012,2022-01-11 08:27:46,2022-01-11 14:04:04
CUST000005,Barry,Wood,2000-10-19,0774325a68c6deb08221c019a70f2eb69926e17ef9e382966ab0e816a50ffa38,US,US,2023-10-11,APPROVED,2023-10-13,BR0019,2023-10-11 18:37:13,2023-10-11 16:28:35
CUST000006,Angela,Jordan,1994-07-23,05b410271ea50c0fea0e9ef5031894e63917367d6f1f4f058cdb55f1ebad6180,US,US,2022-01-03,APPROVED,2022-01-04,BR0009,2022-01-03 11:27:10,2022-01-03 06:04:39
CUST000007,Bobby,Diaz,1994-07-06,28f77ec74537dfdc1a1494feada9a9ef579ba1e1786f7d716428d573c7a27816,FR,FR,2020-07-16,APPROVED,2020-08-05,BR0014,2020-07-16 18:29:34,2020-07-16 20:25:02
CUST000008,Sarah,Stanton,2000-10-24,21211d0f3dd8e300db35c9ac92feba700d5d6ce5ac95ac7e6f92fff87130c0cb,US,US,2022-12-08,APPROVED,2023-01-05,BR0003,2022-12-08 11:08:28,2022-12-08 18:43:48
CUST000009,Bill,Howard,1952-07-16,eb03a912ae8851c883a949a46afeddf8d3dc3eb2e6e40b61d046c2442338106c,AU,AU,2022-08-01,APPROVED,2022-09-04,BR0018,2022-08-01 19:22:15,2022-08-01 12:40:43
CUST000010,Evelyn,Estrada,1977-09-13,74168ce7071fcc12b77bb7df0427b34f936e2f8f165d50590288fb5f710c1a5a,US,US,2021-02-20,APPROVED,2021-04-11,BR0007,2021-02-20 06:32:43,2021-02-20 16:11:14
CUST000011,Michael,Castro,1961-03-09,daaa26a2e1e95aecc85a81cebdaf6ff9f72015a6092c37e150a6bbbce785906c,US,US,2020-10-24,APPROVED,2020-10-29,BR0016,2020-10-24 18:17:18,2020-10-24 20:51:58
CUST000012,Nancy,Dickson,1975-06-28,49301391e1a9b0472497ed0c8306e1ddec6ba5204eedd19d5cccb9ac324d2d26,US,US,2022-09-10,APPROVED,2022-10-07,BR0010,2022-09-10 15:34:42,2022-09-10 19:31:25
