txn_id,account_id,txn_date,txn_timestamp,txn_type,amount,currency,counterparty_account,counterparty_bank_bic,channel,status,reversal_flag,original_txn_id,created_at
TXN0000000001,ACCT00000001,2023-07-16,2023-07-16 06:14:33,DEBIT,16.28,USD,,,MOBILE,SETTLED,N,,2023-07-16 11:19:09
TXN0000000002,ACCT00000001,2023-05-13,2023-05-13 13:58:43,DEBIT,39.47,USD,,,ATM,SETTLED,N,,2023-05-13 15:13:36
TXN0000000003,ACCT00000001,2023-12-11,2023-12-11 15:00:12,DEBIT,207.38,USD,,,BRANCH,SETTLED,N,,2023-12-11 17:20:50
TXN0000000004,ACCT00000001,2022-11-06,2022-11-06 21:03:32,DEBIT,90.74,USD,,,ATM,SETTLED,N,,2022-11-06 12:02:03
TXN0000000005,ACCT00000001,2022-06-20,2022-06-20 18:42:24,CREDIT,722.48,JPY,WPOT01043289861434,DEUTDEDB,ONLINE,SETTLED,N,,2022-06-20 11:22:47
TXN0000000006,ACCT00000001,2023-02-21,2023-02-21 12:18:58,TRANSFER,3891.1,CAD,DBHN97117980893246,CHASUS33,ATM,PENDING,N,,2023-02-21 20:17:36
TXN0000000007,ACCT00000001,2022-08-24,2022-08-24 06:47:28,CREDIT,217.17,GBP,ATLH96218518888806,TOKYOJPJT,ONLINE,SETTLED,N,,2022-08-24 10:26:19
TXN0000000008,ACCT00000001,2022-11-25,2022-11-25 22:22:39,TRANSFER,2151.04,JPY,PBUM54051531952058,RBOSGB2L,MOBILE,SETTLED,N,,2022-11-25 14:05:30
TXN0000000009,ACCT00000001,2023-04-04,2023-04-04 15:58:49,FEE,444.95,USD,,,ACH,SETTLED,N,,2023-04-04 17:40:35
TXN0000000010,ACCT00000001,2022-05-08,2022-05-08 19:27:36,DEBIT,69.56,USD,,,MOBILE,SETTLED,N,,2022-05-08 14:58:31
TXN0000000011,ACCT00000001,2022-08-24,2022-08-24 16:08:32,DEBIT,105.67,MXN,KUFY77221704303054,RBOSGB2L,BRANCH,FAILED,N,,2022-08-24 06:42:21
TXN0000000012,ACCT00000001,2023-02-20,2023-02-20 20:28:05,DEBIT,26.18,USD,,,BRANCH,PENDING,N,,2023-02-20 22:59:48
TXN0000000013,ACCT00000001,2023-07-24,2023-07-24 18:32:20,DEBIT,6.32,EUR,QMRP40345054156676,UBSWCHZH,BRANCH,SETTLED,N,,2023-07-24 12:32:02
TXN0000000014,ACCT00000001,2023-02-26,2023-02-26 18:17:25,ACH,33.22,USD,KFPW75841616928451,USiMyjkXXX,BRANCH,SETTLED,N,,2023-02-26 11:16:59
TXN0000000015,ACCT00000001,2022-09-02,2022-09-02 11:07:11,ACH,59.13,USD,CKVJ47962757059640,USbugTPXXX,ONLINE,SETTLED,N,,2022-09-02 17:24:02
TXN0000000016,ACCT00000001,2022-09-15,2022-09-15 07:13:30,TRANSFER,110.87,EUR,CVUM58202970213556,BARCGB22,MOBILE,SETTLED,N,,2022-09-15 14:28:17
TXN0000000017,ACCT00000001,2023-05-03,2023-05-03 08:11:11,ACH,276.34,USD,SBTE75571928565431,USsESiWXXX,ONLINE,SETTLED,N,,2023-05-03 16:02:48
TXN0000000018,ACCT00000001,2022-09-18,2022-09-18 08:40:36,FEE,185.5,JPY,AXFP86814473947312,TOKYOJPJT,POS,SETTLED,N,,2022-09-18 07:02:50
TXN0000000019,ACCT00000001,2022-11-23,2022-11-23 19:45:45,DEBIT,159.15,USD,,,POS,SETTLED,N,,2022-11-23 18:00:06
TXN0000000020,ACCT00000001,2022-09-03,2022-09-03 16:50:54,DEBIT,2311.07,EUR,COFW71551884422583,MXBBMXMM,ATM,SETTLED,N,,2022-09-03 12:50:33
TXN0000000021,ACCT00000001,2022-01-29,2022-01-29 07:24:47,CREDIT,15.22,USD,,,POS,SETTLED,N,,2022-01-29 08:38:18
TXN0000000022,ACCT00000001,2023-10-02,2023-10-02 16:07:36,ACH,478.16,GBP,DGZE37058957829114,CITIGB2L,ONLINE,SETTLED,N,,2023-10-02 13:53:59
TXN0000000023,ACCT00000001,2023-08-31,2023-08-31 21:00:34,TRANSFER,22.2,USD,MWXP86691251778528,USNsWVYXXX,ONLINE,SETTLED,N,,2023-08-31 15:39:09
TXN0000000024,ACCT00000001,2023-09-21,2023-09-21 12:52:08,ACH,196.63,USD,USFY26801824225358,USxtlnvXXX,ONLINE,SETTLED,N,,2023-09-21 12:17:36
